-766873361081.9584,-420088604996.4032,393531743010.816,-846294244602.6752,521564582209.1264,327357535197.5936,-166947323274.8544,182610792179.3024,16046891204.608,35494500604.3136
421257499220.3776,-409648713904.9472,1377703034.88,-200550625207.9104,-507758779354.3168,805751950304.8704,42605880541.184,-432393662811.3408,-713992518710.0673,-212268087037.1328
668509210568.2944,367855714225.3568,180811926077.44,724776127981.1584,-20614737821.696,-671012407685.9392,323211623399.424,-852098895839.232,-354769981512.0896,823253396357.12
-749856730015.3344,-822559088469.6064,728172038665.0112,-751898968090.2144,76964461700.7104,551120175261.2864,-576834557601.3824,-54546187839.0784,-626600247191.1425,167597400548.9664
816935063257.088,642084888169.6768,796098587262.976,237459420794.0608,-810461871839.6416,817251098610.8928,-152880043733.8112,868601235610.0096,-894145202539.7249,34980882913.6896
-676019265811.2512,-846391921554.2272,-850251973499.2896,-29060463853.568,-841367978351.0016,215992145385.8816,-773525818310.656,269923915504.0256,-849335491231.744,-262707023236.3008
-684369839443.1488,148956211104.9728,-149406220917.1456,472603060233.8304,149748701777.1008,-810392178445.5168,-547739470607.1552,-893152863767.7568,499306116363.0592,159485197182.5664
217099313715.6096,-483336207833.4976,785453886629.4784,-59599715146.1376,-423711764329.2672,-183683663685.2224,142836547085.9264,2032165873.2544,-664790532672.7168,59066559129.1904
-240286852710.4,611504458039.296,738937619559.2192,722528977603.7888,-498393069230.4896,-787626374201.344,167062352062.0544,52234417078.272,-879292039194.2144,883571389418.7008
-357726930180.5056,-712949091637.6576,-99128850146.9184,762219010300.3136,-532874794316.5952,-776132302680.8832,-534750573887.488,149492142912.3072,614740895413.0432,-738411065796.1984
-306244485958.8608,-213354652106.752,-704330941543.2192,-325371848923.5456,339296597626.0608,-248582199941.5296,-530770532971.3152,359819348069.5808,-631661222323.8145,-76657817812.992
805841065843.0977,-847769474013.5936,723603304533.1968,89270959000.7808,484453301144.7808,684028444907.9296,-749647414951.936,-774925657623.7568,598355186234.1632,-225438265769.984
206666741265.2032,621377288037.9904,-39236163705.2416,-624362763426.2017,502739925100.1344,384898997996.7488,201444252293.5296,437147286057.7792,575849137333.8624,-377544493970.2272
-15507875744.9728,-523134851612.672,300436792174.1824,229429766782.976,543726674693.3248,316557570238.0544,-846765053129.5232,873748275344.1792,-799362668455.5264,-708206994758.0416
464144742901.3504,525300470172.8768,-616305076364.9023,-586416994543.2064,-379762590823.2192,-565561843410.5344,-291880287862.784,361694129396.1216,307211353980.928,-25141023080.448
